               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.018992,            0.037704,            0.013118,             0.98746,             0.95618,             0.96355,             0.80951,            0.012386,            0.016201,           0.0025031,             0.00406,             0.00406,             0.00406
                  38,            0.018839,            0.037483,            0.013027,             0.98724,             0.95633,             0.96389,             0.80998,            0.012363,            0.016183,           0.0024562,            0.003895,            0.003895,            0.003895
                  39,            0.018719,            0.037191,            0.013029,             0.98667,             0.95654,             0.96414,             0.81068,            0.012322,            0.016179,           0.0024267,             0.00373,             0.00373,             0.00373
                  40,            0.018646,            0.037104,            0.012803,             0.98661,             0.95673,             0.96492,             0.81182,            0.012313,            0.016172,           0.0024103,            0.003565,            0.003565,            0.003565
                  41,            0.018551,             0.03702,            0.012757,             0.98589,             0.95771,             0.96518,             0.81236,              0.0123,            0.016166,           0.0024015,              0.0034,              0.0034,              0.0034
                  42,            0.018431,            0.036993,            0.012494,             0.98666,             0.95762,              0.9653,              0.8128,             0.01229,            0.016155,           0.0024379,            0.003235,            0.003235,            0.003235
                  43,            0.018214,            0.036528,             0.01239,             0.98683,             0.95742,              0.9653,             0.81304,            0.012269,             0.01615,           0.0024382,             0.00307,             0.00307,             0.00307
                  44,            0.018145,            0.036627,            0.012281,             0.98696,             0.95719,             0.96531,             0.81351,            0.012246,             0.01614,           0.0024326,            0.002905,            0.002905,            0.002905
                  45,            0.018086,             0.03653,            0.012075,              0.9874,             0.95703,             0.96533,             0.81391,             0.01224,            0.016139,           0.0024367,             0.00274,             0.00274,             0.00274
                  46,            0.017888,            0.036135,            0.012144,             0.98594,             0.95782,             0.96554,             0.81429,            0.012227,            0.016129,           0.0024517,            0.002575,            0.002575,            0.002575
                  47,            0.017801,            0.036206,            0.011995,             0.98785,             0.95632,             0.96557,             0.81477,            0.012213,            0.016122,           0.0024422,             0.00241,             0.00241,             0.00241
                  48,            0.017714,            0.036056,            0.011771,             0.98781,             0.95627,             0.96562,             0.81494,            0.012185,            0.016114,           0.0024399,            0.002245,            0.002245,            0.002245
                  49,             0.01753,            0.035758,            0.011783,             0.98786,             0.95631,             0.96619,             0.81571,            0.012174,            0.016108,           0.0024214,             0.00208,             0.00208,             0.00208
                  50,            0.017362,            0.035519,            0.011689,              0.9878,             0.95631,              0.9664,             0.81594,            0.012158,            0.016102,           0.0024039,            0.001915,            0.001915,            0.001915
                  51,            0.017258,            0.035491,            0.011551,             0.98788,             0.95634,             0.96651,             0.81643,            0.012143,            0.016095,           0.0023956,             0.00175,             0.00175,             0.00175
                  52,            0.017125,            0.035357,            0.011311,             0.98809,             0.95651,             0.96665,             0.81712,             0.01213,            0.016088,            0.002408,            0.001585,            0.001585,            0.001585
                  53,            0.016968,            0.035243,            0.011269,             0.98793,              0.9566,             0.96698,             0.81767,            0.012109,            0.016082,            0.002418,             0.00142,             0.00142,             0.00142
                  54,            0.016867,            0.035099,            0.011023,             0.98858,             0.95708,             0.96791,             0.81828,            0.012092,            0.016073,           0.0024291,            0.001255,            0.001255,            0.001255
                  55,            0.016693,            0.034749,            0.010904,             0.98849,             0.95689,             0.96788,             0.81887,            0.012073,            0.016065,           0.0024198,             0.00109,             0.00109,             0.00109
                  56,            0.016562,             0.03444,             0.01087,             0.98828,             0.95699,             0.96805,             0.81932,             0.01206,            0.016057,           0.0024103,            0.000925,            0.000925,            0.000925
                  57,             0.01642,            0.034529,            0.010691,             0.98808,             0.95702,               0.968,             0.81997,            0.012046,            0.016052,           0.0024095,             0.00076,             0.00076,             0.00076
                  58,            0.016228,            0.034142,            0.010548,             0.98826,              0.9569,             0.96803,             0.82047,            0.012031,            0.016043,           0.0024006,            0.000595,            0.000595,            0.000595
                  59,            0.016142,            0.034045,             0.01045,             0.98831,             0.95693,              0.9683,              0.8213,            0.012018,            0.016037,           0.0023971,             0.00043,             0.00043,             0.00043
